chrom	start	end	tss	gene_id	locus_id	strand
chrI	11245	11465	11285	WBGene00022276	nlp-40	+
chrI	26924	27027	26900	WBGene00022278	rcor-1	-
chrI	33301	33525	33462	WBGene00022279	sesn-1	-
chrI	36485	36609	36501	WBGene00022279	sesn-1	-
chrI	43019	43148	43170	WBGene00022275	Y74C9A.1	+
chrI	44810	44965	44951	WBGene00022279	sesn-1	-
chrI	46648	46828	46772	WBGene00044345	Y48G1C.12	+
chrI	47075	47182	47177	WBGene00044345	Y48G1C.12	+
chrI	47075	47182	47131	WBGene00022279	sesn-1	-
chrI	47477	47593	47487	WBGene00022279	sesn-1	-
chrI	70045	70195	70213	WBGene00000812	csk-1	+
chrI	72364	72504	72508	WBGene00000812	csk-1	+
chrI	86379	86501	86358	WBGene00021679	Y48G1C.6	-
chrI	92900	93001	93028	WBGene00021676	Y48G1C.1	+
chrI	108281	108393	108299	WBGene00021681	Y48G1C.8	-
chrI	110115	110273	110249	WBGene00004418	rpl-7	+
chrI	110115	110273	110178	WBGene00004274	rab-11.1	-
chrI	110343	110467	110450	WBGene00004418	rpl-7	+
chrI	110654	110768	110783	WBGene00004418	rpl-7	+
chrI	110654	110768	110658	WBGene00004274	rab-11.1	-
chrI	112334	112580	112385	WBGene00004274	rab-11.1	-
chrI	122360	122612	122534	WBGene00003229	mex-3	+
chrI	123883	124079	123969	WBGene00003229	mex-3	+
chrI	126640	126775	126790	WBGene00003229	mex-3	+
chrI	128257	128365	128330	WBGene00003229	mex-3	+
chrI	128428	128536	128507	WBGene00003229	mex-3	+
chrI	128712	128793	128687	WBGene00003229	mex-3	+
chrI	159360	159513	159369	WBGene00000253	bli-3	-
chrI	166974	167120	166977	WBGene00004225	ptr-11	-
chrI	167968	168220	168156	WBGene00004225	ptr-11	-
chrI	169723	169899	169851	WBGene00018958	F56C11.6	+
chrI	169723	169899	169722	WBGene00004225	ptr-11	-
chrI	171140	171254	171205	WBGene00018958	F56C11.6	+
chrI	172389	172514	172539	WBGene00018958	F56C11.6	+
chrI	173219	173349	173294	WBGene00018958	F56C11.6	+
chrI	177367	177508	177500	WBGene00018957	F56C11.5	+
chrI	182951	183055	183042	WBGene00000227	atm-1	+
chrI	182951	183055	182941	WBGene00018955	F56C11.3	-
chrI	183267	183419	183319	WBGene00000227	atm-1	+
chrI	183267	183419	183295	WBGene00018955	F56C11.3	-
chrI	188554	188732	188715	WBGene00000227	atm-1	+
chrI	215703	215781	215802	WBGene00021662	snpc-3.3	+
chrI	215855	215972	216004	WBGene00021662	snpc-3.3	+
chrI	217734	217909	217875	WBGene00255594	Y48G1BL.8	+
chrI	238040	238168	238056	WBGene00021671	Y48G1BM.6	-
chrI	238463	238563	238453	WBGene00021671	Y48G1BM.6	-
chrI	251772	251868	251880	WBGene00021667	snpc-3.2	+
chrI	251918	252058	252051	WBGene00021667	snpc-3.2	+
chrI	279908	280029	280020	WBGene00016904	C53D5.3	+
chrI	282047	282157	282162	WBGene00016903	marc-4	+
chrI	289125	289251	289198	WBGene00016902	C53D5.1	+
